Date,T_Avg,RH,RR
01-Jan-1996,26.6354838709677,81.1935483870968,19.3846153846154
01-Feb-1996,26.3620689655172,84.2413793103448,25.4481481481481
01-Mar-1996,27.5903225806452,80.4838709677419,6.56538461538462
01-Apr-1996,27.9033333333333,77.7333333333333,7.11785714285714
01-May-1996,28.5612903225806,72.5806451612903,0.403448275862069
01-Jun-1996,28.2566666666667,74.4666666666667,1.51724137931034
01-Jul-1996,28.1516129032258,73.1290322580645,2.95
01-Aug-1996,27.9,74.3548387096774,4.39354838709678
01-Sep-1996,28.1266666666667,75.1666666666667,2.13703703703704
01-Oct-1996,27.5290322580645,79.8709677419355,12.65
01-Nov-1996,27.64,76.9333333333333,4.78333333333333
01-Dec-1996,26.6096774193548,80.5806451612903,4.50769230769231
01-Jan-1997,26.3741935483871,82.5806451612903,17.5964285714286
01-Feb-1997,26.9178571428571,78.0714285714286,3.404
01-Mar-1997,27.8709677419355,76.5161290322581,1.97741935483871
01-Apr-1997,27.78,76.8333333333333,2.95769230769231
01-May-1997,28.2193548387097,75.8064516129032,3.72142857142857
01-Jun-1997,28.4033333333333,69.2333333333333,0.0366666666666667
01-Jul-1997,27.6709677419355,67.7741935483871,0.0333333333333333
01-Aug-1997,27.6322580645161,68.5483870967742,0.0333333333333333
01-Sep-1997,28.1,66.8666666666667,0
01-Oct-1997,28.4806451612903,68.9354838709677,0
01-Nov-1997,28.4133333333333,73.3666666666667,2.26666666666667
01-Dec-1997,28.2258064516129,75.258064516129,2.63103448275862
01-Jan-1998,28.4967741935484,76.6129032258064,6.26153846153846
01-Feb-1998,27.825,81.5714285714286,19.337037037037
01-Mar-1998,28.2354838709677,77.5806451612903,10.6137931034483
01-Apr-1998,28.65,78.8333333333333,4.72857142857143
01-May-1998,29.0709677419355,77,5.45714285714286
01-Jun-1998,28.0166666666667,78.8666666666667,5.14230769230769
01-Jul-1998,27.741935483871,79.6451612903226,6.08214285714286
01-Aug-1998,28.3677419354839,73.9354838709677,2.18064516129032
01-Sep-1998,28.5066666666667,72.8333333333333,3.81851851851852
01-Oct-1998,27.7548387096774,79.9677419354839,6.73461538461538
01-Nov-1998,27.9533333333333,75.1666666666667,2.50869565217391
01-Dec-1998,27.9161290322581,76.0967741935484,1.75357142857143
01-Jan-1999,26.6225806451613,83.1612903225806,8.36428571428572
01-Feb-1999,26.5571428571429,84.7857142857143,10.0695652173913
01-Mar-1999,28,76.6333333333333,1.92916666666667
01-Apr-1999,28.4366666666667,73.3666666666667,1.58461538461538
01-May-1999,27.9677419354839,77.3225806451613,3.97692307692308
01-Jun-1999,27.9166666666667,74.9,2.16428571428571
01-Jul-1999,27.4096774193548,74.7741935483871,5.78387096774193
01-Aug-1999,27.8161290322581,69.6774193548387,0.0103448275862069
01-Sep-1999,28.47,67.3666666666667,2.54666666666667
01-Oct-1999,27.7,76.6451612903226,5.15714285714286
01-Nov-1999,27.52,78.5,8.24137931034483
01-Dec-1999,27.0129032258064,81.5483870967742,11.3833333333333
01-Jan-2000,26.6548387096774,82.4516129032258,14.7961538461538
01-Feb-2000,26.8689655172414,82.5862068965517,11.4740740740741
01-Mar-2000,27.9516129032258,75.741935483871,3.34333333333333
01-Apr-2000,28,78.4,9.91538461538462
01-May-2000,28.3935483870968,79.1612903225806,4.44666666666667
01-Jun-2000,27.6333333333333,78.5,3.00384615384615
01-Jul-2000,28.1064516129032,76,0.306666666666667
01-Aug-2000,27.9967741935484,73.0322580645161,1.22142857142857
01-Sep-2000,28.8566666666667,73.2666666666667,1
01-Oct-2000,28.6935483870968,76.8,1.18214285714286
01-Nov-2000,27.59,78.3666666666667,6.48148148148148
01-Dec-2000,28.1451612903226,74.1935483870968,2.89655172413793
01-Jan-2001,27.4903225806452,78.9032258064516,9.94827586206897
01-Feb-2001,26.825,79.0714285714286,11.3115384615385
01-Mar-2001,27.7838709677419,76.8064516129032,6.75925925925926
01-Apr-2001,28.2033333333333,77.2666666666667,3.41
01-May-2001,28.7806451612903,75.8064516129032,2.20666666666667
01-Jun-2001,27.86,78.3,5.07857142857143
01-Jul-2001,27.8645161290323,77.258064516129,0.980645161290323
01-Aug-2001,28.2612903225806,74.2903225806452,2.86129032258065
01-Sep-2001,28.8166666666667,72.7666666666667,0.372413793103448
01-Oct-2001,27.941935483871,79.1612903225806,4.93
01-Nov-2001,27.7433333333333,83.1,4.77407407407408
01-Dec-2001,28.0935483870968,78.3870967741936,4
01-Jan-2002,27.1322580645161,85.8064516129032,23.9833333333333
01-Feb-2002,26.7857142857143,85.2857142857143,22.6428571428571
01-Mar-2002,28.1387096774194,82.6774193548387,8.52068965517241
01-Apr-2002,28.4333333333333,82.4,3.72857142857143
01-May-2002,28.9612903225807,76.6774193548387,2.50322580645161
01-Jun-2002,28.8133333333333,74.1666666666667,0.0793103448275862
01-Jul-2002,28.2193548387097,76.5161290322581,4.16071428571429
01-Aug-2002,28.3064516129032,76,0
01-Sep-2002,28.72,70.2333333333333,0
01-Oct-2002,29.2193548387097,70.258064516129,0.1
01-Nov-2002,29.07,76.7,1.76296296296296
01-Dec-2002,28.6322580645161,76.8064516129032,4.05185185185185
01-Jan-2003,28.8161290322581,73.1290322580645,5.10357142857143
01-Feb-2003,27.5678571428571,81.4642857142857,18.924
01-Mar-2003,28.158064516129,79.1612903225806,4.6875
01-Apr-2003,29.0333333333333,75.9,2.6037037037037
01-May-2003,29.141935483871,73.1935483870968,2.27037037037037
01-Jun-2003,29.0166666666667,70.1666666666667,0.121428571428571
01-Jul-2003,28.7258064516129,66.8064516129032,0
