Date,T_Avg,RH,RR
1-Jan-96,26.71935484,80.96774194,18.52333333
1-Feb-96,26.93793103,81.24137931,22.26896552
1-Mar-96,28.06774194,78.32258065,3.603225806
1-Apr-96,28.54333333,76.1,4.789655172
1-May-96,29.06451613,73.19354839,2.990322581
1-Jun-96,28.62666667,75.1,1.536666667
1-Jul-96,28.39354839,73,2.533333333
1-Aug-96,28.45483871,72.19354839,1.444827586
1-Sep-96,28.84333333,70.03333333,3.54
1-Oct-96,28.12903226,76.12903226,6.579310345
1-Nov-96,28.15666667,73.53333333,2.306666667
1-Dec-96,27.10645161,76.12903226,4.890322581
1-Jan-97,27.00322581,79.64516129,16.95
1-Feb-97,27.26428571,76.32142857,4.053571429
1-Mar-97,28.5,73.67741935,1.428571429
1-Apr-97,27.97666667,76.16666667,10.45862069
1-May-97,28.71290323,75.51612903,6.058064516
1-Jun-97,28.77,70.2,0.679310345
1-Jul-97,28.04193548,68.38709677,0.093548387
1-Aug-97,28.03548387,66.96774194,0
1-Sep-97,28.63333333,64.4,0
1-Oct-97,29.47741935,65.38709677,0.035483871
1-Nov-97,29.62,66.9,0.779310345
1-Dec-97,29.17419355,70.51612903,2.177419355
1-Jan-98,28.94193548,74.22580645,12.46666667
1-Feb-98,28.49642857,78.55555556,8.082142857
1-Mar-98,28.90967742,76.4516129,7.837931034
1-Apr-98,29.29666667,76.06666667,5.385714286
1-May-98,29.66129032,76,2.896774194
1-Jun-98,28.51,76.16666667,2.306666667
1-Jul-98,28.48709677,77.64516129,2.273333333
1-Aug-98,28.87096774,70.35483871,1.29
1-Sep-98,29.22666667,69.13333333,4.043333333
1-Oct-98,28.61290323,74.77419355,7.237931034
1-Nov-98,28.4,70.36666667,2.569230769
1-Dec-98,28.2,71.9,3.048275862
1-Jan-99,27.15806452,79.17241379,9.806666667
1-Feb-99,26.63571429,82.82142857,9.353571429
1-Mar-99,28.17741935,74.03225806,1.989655172
1-Apr-99,28.67,70.36666667,1.525
1-May-99,28.42258065,74.61290323,2.348387097
1-Jun-99,28.28333333,71.16666667,0.472413793
1-Jul-99,27.69677419,70.19354839,3.538709677
1-Aug-99,28.21290323,65.80645161,0.322580645
1-Sep-99,29.05333333,65.3,2.346666667
1-Oct-99,28.6483871,70.41935484,3.793548387
1-Nov-99,28.40666667,71.75862069,1.278571429
1-Dec-99,27.68709677,76.58064516,13.69333333
1-Jan-00,27.16774194,79.63333333,15.48709677
1-Feb-00,27.20689655,78.48275862,12.08461538
1-Mar-00,27.96451613,72.70967742,2.516129032
1-Apr-00,28.07931034,74.89655172,3.426666667
1-May-00,28.73225806,75,3.34
1-Jun-00,27.95333333,74.23333333,2.365517241
1-Jul-00,28.47741935,70.43333333,0.606451613
1-Aug-00,28.4516129,68.25806452,0.919354839
1-Sep-00,29.55666667,65.63333333,0.634482759
1-Oct-00,29.27419355,67.74193548,1.123333333
1-Nov-00,28.33,75.13333333,6.122222222
1-Dec-00,28.84516129,68.96666667,0.819354839
1-Jan-01,27.825,75.25,9.381481481
1-Feb-01,26.99285714,78.28571429,11.084
1-Mar-01,27.82903226,76.25806452,7.932258065
1-Apr-01,28.55,74.93333333,2.520689655
1-May-01,29.17741935,71.80645161,2.42
1-Jun-01,28.10666667,72.96666667,5.326666667
1-Jul-01,28.31290323,69.96774194,0.75483871
1-Aug-01,28.68709677,67.38709677,4.364516129
1-Sep-01,29.45333333,67.33333333,2.639285714
1-Oct-01,28.85483871,70.51612903,2.03
1-Nov-01,28.42,72.6,6.696551724
1-Dec-01,28.11935484,71.61290323,10.28709677
1-Jan-02,27.40322581,80.64516129,27.11666667
1-Feb-02,27.22142857,80.42857143,19.83214286
1-Mar-02,28.57096774,75.61290323,8.579310345
1-Apr-02,28.65333333,75.43333333,3.855172414
1-May-02,29.30967742,72.19354839,1.929032258
1-Jun-02,29.15333333,68.5,0.09
1-Jul-02,28.43870968,70.67741935,2.134482759
1-Aug-02,28.5483871,65.61290323,0.019354839
1-Sep-02,28.87333333,48.6,0
1-Oct-02,29.89032258,63.64516129,0.003225806
1-Nov-02,29.69,67.13333333,1.375862069
1-Dec-02,29.19354839,71,2.948275862
1-Jan-03,29.19032258,70.64516129,3.579310345
1-Feb-03,27.33571429,81.25,20.84444444
1-Mar-03,28.49677419,75.96774194,2.7
1-Apr-03,29.46,71.6,1.413793103
1-May-03,29.41290323,70.22580645,0.911538462
1-Jun-03,29.07,68.16666667,0
1-Jul-03,28.59677419,65.38709677,0.016129032
1-Aug-03,28.61290323,66.77419355,0.080645161
1-Sep-03,28.91666667,66.06666667,2.389655172
1-Oct-03,29.07741935,68.96774194,7.003225806
1-Nov-03,29.00666667,71.63333333,3.75862069
1-Dec-03,27.69677419,76.93548387,11.87931034
1-Jan-04,28.07096774,77.12903226,5.123333333
1-Feb-04,27.66206897,79.31034483,20.97857143
1-Mar-04,28.41612903,74.19354839,5.35
1-Apr-04,29.41333333,76.16666667,7.489655172
1-May-04,29.20967742,74,1.713793103
1-Jun-04,28.37,69.43333333,1.886666667
1-Jul-04,28.4,71.83870968,1.180645161
1-Aug-04,28.58709677,66.03225806,0.351612903
1-Sep-04,29.44666667,81.1,0.18
1-Oct-04,29.93870968,67.64516129,1.709677419
1-Nov-04,29.51666667,74.5862069,5.068965517
